Word1,Word2,Word3,Word4,Subject
free,freely,slow,slowly,gram1-adjective-to-adverb
free,freely,sudden,suddenly,gram1-adjective-to-adverb
free,freely,swift,swiftly,gram1-adjective-to-adverb
free,freely,calm,calmly,gram1-adjective-to-adverb
free,freely,cheerful,cheerfully,gram1-adjective-to-adverb
happy,happily,immediate,immediately,gram1-adjective-to-adverb
happy,happily,quick,quickly,gram1-adjective-to-adverb
happy,happily,quiet,quietly,gram1-adjective-to-adverb
happy,happily,rare,rarely,gram1-adjective-to-adverb
happy,happily,safe,safely,gram1-adjective-to-adverb
happy,happily,slow,slowly,gram1-adjective-to-adverb
happy,happily,sudden,suddenly,gram1-adjective-to-adverb
happy,happily,swift,swiftly,gram1-adjective-to-adverb
happy,happily,calm,calmly,gram1-adjective-to-adverb
happy,happily,cheerful,cheerfully,gram1-adjective-to-adverb
happy,happily,free,freely,gram1-adjective-to-adverb
immediate,immediately,quick,quickly,gram1-adjective-to-adverb
immediate,immediately,quiet,quietly,gram1-adjective-to-adverb
immediate,immediately,rare,rarely,gram1-adjective-to-adverb
immediate,immediately,safe,safely,gram1-adjective-to-adverb
immediate,immediately,slow,slowly,gram1-adjective-to-adverb
immediate,immediately,sudden,suddenly,gram1-adjective-to-adverb
immediate,immediately,swift,swiftly,gram1-adjective-to-adverb
immediate,immediately,calm,calmly,gram1-adjective-to-adverb
immediate,immediately,cheerful,cheerfully,gram1-adjective-to-adverb
immediate,immediately,free,freely,gram1-adjective-to-adverb
immediate,immediately,happy,happily,gram1-adjective-to-adverb
quick,quickly,quiet,quietly,gram1-adjective-to-adverb
quick,quickly,rare,rarely,gram1-adjective-to-adverb
quick,quickly,safe,safely,gram1-adjective-to-adverb
quick,quickly,slow,slowly,gram1-adjective-to-adverb
quick,quickly,sudden,suddenly,gram1-adjective-to-adverb
quick,quickly,swift,swiftly,gram1-adjective-to-adverb
quick,quickly,calm,calmly,gram1-adjective-to-adverb
quick,quickly,cheerful,cheerfully,gram1-adjective-to-adverb
quick,quickly,free,freely,gram1-adjective-to-adverb
quick,quickly,happy,happily,gram1-adjective-to-adverb
quick,quickly,immediate,immediately,gram1-adjective-to-adverb
quiet,quietly,rare,rarely,gram1-adjective-to-adverb
quiet,quietly,safe,safely,gram1-adjective-to-adverb
quiet,quietly,slow,slowly,gram1-adjective-to-adverb
quiet,quietly,sudden,suddenly,gram1-adjective-to-adverb
quiet,quietly,swift,swiftly,gram1-adjective-to-adverb
quiet,quietly,calm,calmly,gram1-adjective-to-adverb
quiet,quietly,cheerful,cheerfully,gram1-adjective-to-adverb
quiet,quietly,free,freely,gram1-adjective-to-adverb
quiet,quietly,happy,happily,gram1-adjective-to-adverb
quiet,quietly,immediate,immediately,gram1-adjective-to-adverb
quiet,quietly,quick,quickly,gram1-adjective-to-adverb
rare,rarely,safe,safely,gram1-adjective-to-adverb
rare,rarely,slow,slowly,gram1-adjective-to-adverb
rare,rarely,sudden,suddenly,gram1-adjective-to-adverb
rare,rarely,swift,swiftly,gram1-adjective-to-adverb
rare,rarely,calm,calmly,gram1-adjective-to-adverb
rare,rarely,cheerful,cheerfully,gram1-adjective-to-adverb
rare,rarely,free,freely,gram1-adjective-to-adverb
rare,rarely,happy,happily,gram1-adjective-to-adverb
rare,rarely,immediate,immediately,gram1-adjective-to-adverb
rare,rarely,quick,quickly,gram1-adjective-to-adverb
rare,rarely,quiet,quietly,gram1-adjective-to-adverb
safe,safely,slow,slowly,gram1-adjective-to-adverb
safe,safely,sudden,suddenly,gram1-adjective-to-adverb
safe,safely,swift,swiftly,gram1-adjective-to-adverb
safe,safely,calm,calmly,gram1-adjective-to-adverb
safe,safely,cheerful,cheerfully,gram1-adjective-to-adverb
safe,safely,free,freely,gram1-adjective-to-adverb
safe,safely,happy,happily,gram1-adjective-to-adverb
safe,safely,immediate,immediately,gram1-adjective-to-adverb
safe,safely,quick,quickly,gram1-adjective-to-adverb
safe,safely,quiet,quietly,gram1-adjective-to-adverb
safe,safely,rare,rarely,gram1-adjective-to-adverb
slow,slowly,sudden,suddenly,gram1-adjective-to-adverb
slow,slowly,swift,swiftly,gram1-adjective-to-adverb
slow,slowly,calm,calmly,gram1-adjective-to-adverb
slow,slowly,cheerful,cheerfully,gram1-adjective-to-adverb
slow,slowly,free,freely,gram1-adjective-to-adverb
slow,slowly,happy,happily,gram1-adjective-to-adverb
slow,slowly,immediate,immediately,gram1-adjective-to-adverb
slow,slowly,quick,quickly,gram1-adjective-to-adverb
slow,slowly,quiet,quietly,gram1-adjective-to-adverb
slow,slowly,rare,rarely,gram1-adjective-to-adverb
slow,slowly,safe,safely,gram1-adjective-to-adverb
sudden,suddenly,swift,swiftly,gram1-adjective-to-adverb
sudden,suddenly,calm,calmly,gram1-adjective-to-adverb
sudden,suddenly,cheerful,cheerfully,gram1-adjective-to-adverb
sudden,suddenly,free,freely,gram1-adjective-to-adverb
sudden,suddenly,happy,happily,gram1-adjective-to-adverb
sudden,suddenly,immediate,immediately,gram1-adjective-to-adverb
sudden,suddenly,quick,quickly,gram1-adjective-to-adverb
sudden,suddenly,quiet,quietly,gram1-adjective-to-adverb
sudden,suddenly,rare,rarely,gram1-adjective-to-adverb
sudden,suddenly,safe,safely,gram1-adjective-to-adverb
sudden,suddenly,slow,slowly,gram1-adjective-to-adverb
swift,swiftly,calm,calmly,gram1-adjective-to-adverb
swift,swiftly,cheerful,cheerfully,gram1-adjective-to-adverb
swift,swiftly,free,freely,gram1-adjective-to-adverb
swift,swiftly,happy,happily,gram1-adjective-to-adverb
swift,swiftly,immediate,immediately,gram1-adjective-to-adverb
swift,swiftly,quick,quickly,gram1-adjective-to-adverb
swift,swiftly,quiet,quietly,gram1-adjective-to-adverb
swift,swiftly,rare,rarely,gram1-adjective-to-adverb
swift,swiftly,safe,safely,gram1-adjective-to-adverb
swift,swiftly,slow,slowly,gram1-adjective-to-adverb
swift,swiftly,sudden,suddenly,gram1-adjective-to-adverb
certain,uncertain,comfortable,uncomfortable,gram2-opposite
certain,uncertain,fortunate,unfortunate,gram2-opposite
certain,uncertain,honest,dishonest,gram2-opposite
certain,uncertain,known,unknown,gram2-opposite
certain,uncertain,likely,unlikely,gram2-opposite
certain,uncertain,possible,impossible,gram2-opposite
certain,uncertain,reasonable,unreasonable,gram2-opposite
comfortable,uncomfortable,fortunate,unfortunate,gram2-opposite
comfortable,uncomfortable,honest,dishonest,gram2-opposite
comfortable,uncomfortable,known,unknown,gram2-opposite
comfortable,uncomfortable,likely,unlikely,gram2-opposite
comfortable,uncomfortable,possible,impossible,gram2-opposite
comfortable,uncomfortable,reasonable,unreasonable,gram2-opposite
comfortable,uncomfortable,certain,uncertain,gram2-opposite
fortunate,unfortunate,honest,dishonest,gram2-opposite
fortunate,unfortunate,known,unknown,gram2-opposite
fortunate,unfortunate,likely,unlikely,gram2-opposite
fortunate,unfortunate,possible,impossible,gram2-opposite
fortunate,unfortunate,reasonable,unreasonable,gram2-opposite
fortunate,unfortunate,certain,uncertain,gram2-opposite
fortunate,unfortunate,comfortable,uncomfortable,gram2-opposite
honest,dishonest,known,unknown,gram2-opposite
honest,dishonest,likely,unlikely,gram2-opposite
honest,dishonest,possible,impossible,gram2-opposite
honest,dishonest,reasonable,unreasonable,gram2-opposite
honest,dishonest,certain,uncertain,gram2-opposite
honest,dishonest,comfortable,uncomfortable,gram2-opposite
honest,dishonest,fortunate,unfortunate,gram2-opposite
known,unknown,likely,unlikely,gram2-opposite
known,unknown,possible,impossible,gram2-opposite
known,unknown,reasonable,unreasonable,gram2-opposite
known,unknown,certain,uncertain,gram2-opposite
known,unknown,comfortable,uncomfortable,gram2-opposite
known,unknown,fortunate,unfortunate,gram2-opposite
known,unknown,honest,dishonest,gram2-opposite
likely,unlikely,possible,impossible,gram2-opposite
likely,unlikely,reasonable,unreasonable,gram2-opposite
likely,unlikely,certain,uncertain,gram2-opposite
likely,unlikely,comfortable,uncomfortable,gram2-opposite
likely,unlikely,fortunate,unfortunate,gram2-opposite
likely,unlikely,honest,dishonest,gram2-opposite
likely,unlikely,known,unknown,gram2-opposite
possible,impossible,reasonable,unreasonable,gram2-opposite
possible,impossible,certain,uncertain,gram2-opposite
possible,impossible,comfortable,uncomfortable,gram2-opposite
possible,impossible,fortunate,unfortunate,gram2-opposite
possible,impossible,honest,dishonest,gram2-opposite
possible,impossible,known,unknown,gram2-opposite
possible,impossible,likely,unlikely,gram2-opposite
reasonable,unreasonable,certain,uncertain,gram2-opposite
reasonable,unreasonable,comfortable,uncomfortable,gram2-opposite
reasonable,unreasonable,fortunate,unfortunate,gram2-opposite
reasonable,unreasonable,honest,dishonest,gram2-opposite
reasonable,unreasonable,known,unknown,gram2-opposite
reasonable,unreasonable,likely,unlikely,gram2-opposite
reasonable,unreasonable,possible,impossible,gram2-opposite
bad,worse,big,bigger,gram3-comparative
bad,worse,cheap,cheaper,gram3-comparative
bad,worse,cold,colder,gram3-comparative
bad,worse,deep,deeper,gram3-comparative
bad,worse,easy,easier,gram3-comparative
bad,worse,fast,faster,gram3-comparative
bad,worse,good,better,gram3-comparative
bad,worse,great,greater,gram3-comparative
bad,worse,hard,harder,gram3-comparative
bad,worse,heavy,heavier,gram3-comparative
bad,worse,high,higher,gram3-comparative
bad,worse,hot,hotter,gram3-comparative
bad,worse,long,longer,gram3-comparative
bad,worse,loud,louder,gram3-comparative
bad,worse,low,lower,gram3-comparative
bad,worse,new,newer,gram3-comparative
bad,worse,old,older,gram3-comparative
bad,worse,safe,safer,gram3-comparative
bad,worse,sharp,sharper,gram3-comparative
bad,worse,short,shorter,gram3-comparative
bad,worse,slow,slower,gram3-comparative
bad,worse,strong,stronger,gram3-comparative
bad,worse,tall,taller,gram3-comparative
bad,worse,tough,tougher,gram3-comparative
bad,worse,warm,warmer,gram3-comparative
bad,worse,weak,weaker,gram3-comparative
bad,worse,young,younger,gram3-comparative
big,bigger,cheap,cheaper,gram3-comparative
big,bigger,cold,colder,gram3-comparative
big,bigger,deep,deeper,gram3-comparative
big,bigger,easy,easier,gram3-comparative
big,bigger,fast,faster,gram3-comparative
big,bigger,good,better,gram3-comparative
big,bigger,great,greater,gram3-comparative
big,bigger,hard,harder,gram3-comparative
big,bigger,heavy,heavier,gram3-comparative
big,bigger,high,higher,gram3-comparative
big,bigger,hot,hotter,gram3-comparative
big,bigger,long,longer,gram3-comparative
big,bigger,loud,louder,gram3-comparative
big,bigger,low,lower,gram3-comparative
big,bigger,new,newer,gram3-comparative
big,bigger,old,older,gram3-comparative
big,bigger,safe,safer,gram3-comparative
big,bigger,sharp,sharper,gram3-comparative
big,bigger,short,shorter,gram3-comparative
big,bigger,slow,slower,gram3-comparative
big,bigger,strong,stronger,gram3-comparative
big,bigger,tall,taller,gram3-comparative
big,bigger,tough,tougher,gram3-comparative
big,bigger,warm,warmer,gram3-comparative
big,bigger,weak,weaker,gram3-comparative
big,bigger,young,younger,gram3-comparative
big,bigger,bad,worse,gram3-comparative
cheap,cheaper,cold,colder,gram3-comparative
cheap,cheaper,deep,deeper,gram3-comparative
cheap,cheaper,easy,easier,gram3-comparative
cheap,cheaper,fast,faster,gram3-comparative
cheap,cheaper,good,better,gram3-comparative
cheap,cheaper,great,greater,gram3-comparative
cheap,cheaper,hard,harder,gram3-comparative
cheap,cheaper,heavy,heavier,gram3-comparative
cheap,cheaper,high,higher,gram3-comparative
cheap,cheaper,hot,hotter,gram3-comparative
cheap,cheaper,long,longer,gram3-comparative
cheap,cheaper,loud,louder,gram3-comparative
cheap,cheaper,low,lower,gram3-comparative
cheap,cheaper,new,newer,gram3-comparative
cheap,cheaper,old,older,gram3-comparative
cheap,cheaper,safe,safer,gram3-comparative
cheap,cheaper,sharp,sharper,gram3-comparative
cheap,cheaper,short,shorter,gram3-comparative
cheap,cheaper,slow,slower,gram3-comparative
cheap,cheaper,strong,stronger,gram3-comparative
cheap,cheaper,tall,taller,gram3-comparative
cheap,cheaper,tough,tougher,gram3-comparative
cheap,cheaper,warm,warmer,gram3-comparative
cheap,cheaper,weak,weaker,gram3-comparative
cheap,cheaper,young,younger,gram3-comparative
cheap,cheaper,bad,worse,gram3-comparative
cheap,cheaper,big,bigger,gram3-comparative
cold,colder,deep,deeper,gram3-comparative
cold,colder,easy,easier,gram3-comparative
cold,colder,fast,faster,gram3-comparative
cold,colder,good,better,gram3-comparative
cold,colder,great,greater,gram3-comparative
cold,colder,hard,harder,gram3-comparative
cold,colder,heavy,heavier,gram3-comparative
cold,colder,high,higher,gram3-comparative
cold,colder,hot,hotter,gram3-comparative
cold,colder,long,longer,gram3-comparative
cold,colder,loud,louder,gram3-comparative
cold,colder,low,lower,gram3-comparative
cold,colder,new,newer,gram3-comparative
cold,colder,old,older,gram3-comparative
cold,colder,safe,safer,gram3-comparative
cold,colder,sharp,sharper,gram3-comparative
cold,colder,short,shorter,gram3-comparative
cold,colder,slow,slower,gram3-comparative
cold,colder,strong,stronger,gram3-comparative
cold,colder,tall,taller,gram3-comparative
cold,colder,tough,tougher,gram3-comparative
cold,colder,warm,warmer,gram3-comparative
cold,colder,weak,weaker,gram3-comparative
cold,colder,young,younger,gram3-comparative
cold,colder,bad,worse,gram3-comparative
cold,colder,big,bigger,gram3-comparative
cold,colder,cheap,cheaper,gram3-comparative
deep,deeper,easy,easier,gram3-comparative
deep,deeper,fast,faster,gram3-comparative
deep,deeper,good,better,gram3-comparative
deep,deeper,great,greater,gram3-comparative
deep,deeper,hard,harder,gram3-comparative
deep,deeper,heavy,heavier,gram3-comparative
deep,deeper,high,higher,gram3-comparative
deep,deeper,hot,hotter,gram3-comparative
deep,deeper,long,longer,gram3-comparative
deep,deeper,loud,louder,gram3-comparative
deep,deeper,low,lower,gram3-comparative
deep,deeper,new,newer,gram3-comparative
deep,deeper,old,older,gram3-comparative
deep,deeper,safe,safer,gram3-comparative
deep,deeper,sharp,sharper,gram3-comparative
deep,deeper,short,shorter,gram3-comparative
deep,deeper,slow,slower,gram3-comparative
deep,deeper,strong,stronger,gram3-comparative
deep,deeper,tall,taller,gram3-comparative
deep,deeper,tough,tougher,gram3-comparative
deep,deeper,warm,warmer,gram3-comparative
deep,deeper,weak,weaker,gram3-comparative
deep,deeper,young,younger,gram3-comparative
deep,deeper,bad,worse,gram3-comparative
deep,deeper,big,bigger,gram3-comparative
deep,deeper,cheap,cheaper,gram3-comparative
deep,deeper,cold,colder,gram3-comparative
easy,easier,fast,faster,gram3-comparative
easy,easier,good,better,gram3-comparative
easy,easier,great,greater,gram3-comparative
easy,easier,hard,harder,gram3-comparative
easy,easier,heavy,heavier,gram3-comparative
easy,easier,high,higher,gram3-comparative
easy,easier,hot,hotter,gram3-comparative
easy,easier,long,longer,gram3-comparative
easy,easier,loud,louder,gram3-comparative
easy,easier,low,lower,gram3-comparative
easy,easier,new,newer,gram3-comparative
easy,easier,old,older,gram3-comparative
easy,easier,safe,safer,gram3-comparative
easy,easier,sharp,sharper,gram3-comparative
easy,easier,short,shorter,gram3-comparative
easy,easier,slow,slower,gram3-comparative
easy,easier,strong,stronger,gram3-comparative
easy,easier,tall,taller,gram3-comparative
easy,easier,tough,tougher,gram3-comparative
easy,easier,warm,warmer,gram3-comparative
easy,easier,weak,weaker,gram3-comparative
easy,easier,young,younger,gram3-comparative
easy,easier,bad,worse,gram3-comparative
easy,easier,big,bigger,gram3-comparative
easy,easier,cheap,cheaper,gram3-comparative
easy,easier,cold,colder,gram3-comparative
easy,easier,deep,deeper,gram3-comparative
fast,faster,good,better,gram3-comparative
fast,faster,great,greater,gram3-comparative
fast,faster,hard,harder,gram3-comparative
fast,faster,heavy,heavier,gram3-comparative
fast,faster,high,higher,gram3-comparative
fast,faster,hot,hotter,gram3-comparative
fast,faster,long,longer,gram3-comparative
fast,faster,loud,louder,gram3-comparative
fast,faster,low,lower,gram3-comparative
fast,faster,new,newer,gram3-comparative
fast,faster,old,older,gram3-comparative
fast,faster,safe,safer,gram3-comparative
fast,faster,sharp,sharper,gram3-comparative
fast,faster,short,shorter,gram3-comparative
fast,faster,slow,slower,gram3-comparative
fast,faster,strong,stronger,gram3-comparative
fast,faster,tall,taller,gram3-comparative
fast,faster,tough,tougher,gram3-comparative
fast,faster,warm,warmer,gram3-comparative
fast,faster,weak,weaker,gram3-comparative
fast,faster,young,younger,gram3-comparative
fast,faster,bad,worse,gram3-comparative
fast,faster,big,bigger,gram3-comparative
fast,faster,cheap,cheaper,gram3-comparative
fast,faster,cold,colder,gram3-comparative
fast,faster,deep,deeper,gram3-comparative
fast,faster,easy,easier,gram3-comparative
good,better,great,greater,gram3-comparative
good,better,hard,harder,gram3-comparative
good,better,heavy,heavier,gram3-comparative
good,better,high,higher,gram3-comparative
good,better,hot,hotter,gram3-comparative
good,better,long,longer,gram3-comparative
good,better,loud,louder,gram3-comparative
good,better,low,lower,gram3-comparative
good,better,new,newer,gram3-comparative
good,better,old,older,gram3-comparative
good,better,safe,safer,gram3-comparative
good,better,sharp,sharper,gram3-comparative
good,better,short,shorter,gram3-comparative
good,better,slow,slower,gram3-comparative
good,better,strong,stronger,gram3-comparative
good,better,tall,taller,gram3-comparative
good,better,tough,tougher,gram3-comparative
good,better,warm,warmer,gram3-comparative
good,better,weak,weaker,gram3-comparative
good,better,young,younger,gram3-comparative
good,better,bad,worse,gram3-comparative
good,better,big,bigger,gram3-comparative
good,better,cheap,cheaper,gram3-comparative
good,better,cold,colder,gram3-comparative
good,better,deep,deeper,gram3-comparative
good,better,easy,easier,gram3-comparative
good,better,fast,faster,gram3-comparative
great,greater,hard,harder,gram3-comparative
great,greater,heavy,heavier,gram3-comparative
great,greater,high,higher,gram3-comparative
great,greater,hot,hotter,gram3-comparative
great,greater,long,longer,gram3-comparative
great,greater,loud,louder,gram3-comparative
great,greater,low,lower,gram3-comparative
great,greater,new,newer,gram3-comparative
great,greater,old,older,gram3-comparative
great,greater,safe,safer,gram3-comparative
great,greater,sharp,sharper,gram3-comparative
great,greater,short,shorter,gram3-comparative
great,greater,slow,slower,gram3-comparative
great,greater,strong,stronger,gram3-comparative
great,greater,tall,taller,gram3-comparative
great,greater,tough,tougher,gram3-comparative
great,greater,warm,warmer,gram3-comparative
great,greater,weak,weaker,gram3-comparative
great,greater,young,younger,gram3-comparative
great,greater,bad,worse,gram3-comparative
great,greater,big,bigger,gram3-comparative
great,greater,cheap,cheaper,gram3-comparative
great,greater,cold,colder,gram3-comparative
great,greater,deep,deeper,gram3-comparative
great,greater,easy,easier,gram3-comparative
great,greater,fast,faster,gram3-comparative
great,greater,good,better,gram3-comparative
hard,harder,heavy,heavier,gram3-comparative
hard,harder,high,higher,gram3-comparative
hard,harder,hot,hotter,gram3-comparative
hard,harder,long,longer,gram3-comparative
hard,harder,loud,louder,gram3-comparative
hard,harder,low,lower,gram3-comparative
